main_id,area,name,address1,parking,homepage,tel,menu,holiday,latitude,longitude,landmark
2,광양시,백운목장,전라남도 광양시 동광1길 6,가능,,061-794-6292,육류,일요일,34.940116,127.7006108,구봉산 전망대
2,광양시,옛고을 그향기,전라남도 광양시 발섬4길 17-6 1층,가능,,061-791-5134,한정식,연중무휴,34.9344907,127.7007269,이순신대교
2,광양시,왕창국밥,전라남도 광양시 눈소로 36,가능,,061-793-0695,국밥,일요일,34.9361483,127.705178,이순신대교
2,광양시,가마솥뚝배기,전라남도 광양시 행정1길 2,가능,,061-794-9339,감자탕,"첫째,세째 일요일",34.9416364,127.6936383,구봉산 전망대
2,광양시,통뼈감자탕 동광양점,전라남도 광양시 오류4길 20 1층,가능,http://www.gamjatang.com/,061-791-0233,감자탕,연중무휴,34.9366775,127.697494,구봉산 전망대
2,광양시,청주본가 광양점,전라남도 광양시 항만9로 134 1층,가능,,061-795-9208,,연중무휴,34.926938,127.698245,이순신대교
2,광양시,금정,전라남도 광양시 시청로 27,가능,,061-792-3000,육류,연중무휴,34.9398469,127.6948161,구봉산 전망대
2,광양시,삼대전주옥전주콩나물해장국,전라남도 광양시 길호1길 11 1층,가능,http://3jeonjuok.modoo.at/,061-791-2888,국밥,연중무휴,34.9310208,127.6971799,이순신대교
2,광양시,정원,전라남도 광양시 광장로 148-9 1층,가능,,061-791-9935,샤브샤브,첫째주 셋째주 일요일,34.9373496,127.6960863,구봉산 전망대
2,광양시,남도식당,전라남도 광양시 중마청룡길 6-5,가능,,061-795-3434,게요리,연중무휴,34.940185,127.699471,구봉산 전망대
2,광양시,백년백세고려삼계탕,전라남도 광양시 사동로 231,가능,,061-793-1034,백숙,"2, 4주 일요일",34.953839,127.6953234,구봉산 전망대
2,광양시,만리장성,전라남도 광양시 광영로 28,가능,,061-791-0084,중식,첫째 세째 일요일,34.9621885,127.7259827,배알도 수변공원
2,광양시,광양순대국,전라남도 광양시 금영로 175-1,가능,,061-793-0018,육류,일요일,34.965853,127.718501,광양 윤동주 유고보존 정병욱 가옥
2,광양시,해정맛집,전라남도 광양시 정수2길 20,가능,,061-792-8640,한식,일요일,34.9626022,127.7207521,배알도 수변공원
2,광양시,박여사국밥,전라남도 광양시 남산1길 12,가능,,061-794-5666,국밥,"2, 4주 일요일",34.961476,127.7244083,배알도 수변공원
2,광양시,가마솥뚝배기 광영점,전라남도 광양시 영수길 102,가능,,061-791-2202,한식,"2, 4주 일요일",34.9656594,127.7176234,광양 윤동주 유고보존 정병욱 가옥
2,광양시,가야골식당,전라남도 광양시 남산길 40,가능,,061-793-8868,한식,,34.961566,127.726212,배알도 수변공원
2,광양시,포항물횟집,전라남도 광양시 광영로 150-1 포항물횟집,가능,,061-792-9834,생선회,연중무휴,34.9660385,127.7173152,광양 윤동주 유고보존 정병욱 가옥
2,광양시,동해횟집,전라남도 광양시 나룻1길 42,가능,,061-793-3007,생선회,일요일,34.9616777,127.7282597,배알도 수변공원
2,광양시,백리향,전라남도 광양시 삼봉산로 21,가능,,061-794-2349,중식,"첫째,세째 일요일",34.9361,127.745215,배알도 수변공원
2,광양시,매화곱창,전라남도 광양시 광양읍 서평1길 88,,,061-763-6402,"곱창,막창,양",일요일,34.9826096,127.5790875,광양만권 경제자유구역 홍보관
2,광양시,시민국밥,전라남도 광양시 광양읍 서천2길 19-1,,,061-762-9285,한식,"2, 4주 일요일",34.9710925,127.5802464,보광사(광양)
2,광양시,해동가든,전라남도 광양시 광양읍 서천1길 27,,,061-762-5417,돼지고기,월요일,34.9683851,127.5803962,보광사(광양)
2,광양시,진주명가,전라남도 광양시 광양읍 서북3길 38,,http://061-761-0601.okqr.co.kr,061-761-0601,냉면,연중무휴,34.973651,127.5764091,보광사(광양)
2,광양시,모은정,전라남도 광양시 광양읍 서북로 23,가능,,061-763-0664,한식,일요일,34.9729373,127.5788542,보광사(광양)
2,광양시,왕창국밥,전라남도 광양시 광양읍 희양현로 30,,,061-762-4870,"찌개,전골",연중무휴,34.9744699,127.5857924,광양문화원
2,광양시,신가가마솥,전라남도 광양시 광양읍 희양현로 30,,,061-763-7556,순대국,"2, 4주 일요일",34.9744513,127.5859125,광양문화원
2,광양시,우진식당,전라남도 광양시 광양읍 개성3길 8-31,,,061-763-3382,"사철,영양탕","첫째,세째/일요일",34.9731617,127.5926414,광양문화원
2,광양시,필브라더,전라남도 광양시 광양읍 매천로 745,,,061-763-8651,한식,일요일,34.9782721,127.5782441,광양 장도박물관
2,광양시,뼈통묵은지감자탕,전라남도 광양시 광양읍 인덕로 901,가능,,061-763-6001,감자탕,연중무휴,34.9635513,127.5787125,보광사(광양)
2,광양시,지곡산장,전라남도 광양시 광양읍 서북로 59,가능,,061-761-3335,닭요리,매주월요일,34.975522,127.5765211,보광사(광양)
2,강진군,둥지식당,전라남도 강진군 강진읍 보은로3길 48-3,가능,,061-433-2080,한정식,,34.6412371,126.7700624,강진군도서관
2,강진군,가족회관,전라남도 강진군 강진읍 영랑로4길 28,가능,,061-433-1236,돼지고기,,34.6398338,126.7708187,강진군도서관
2,강진군,강진한우직판장,전라남도 강진군 강진읍 영랑로1길 3,가능,,061-433-6190,육류,일요일,34.6374498,126.7696787,강진문화원
2,강진군,오뚜기식당,전라남도 강진군 강진읍 영랑로3길 10-1,가능,,061-433-6161,한식,,34.638506,126.769692,강진문화원
2,강진군,은행나무,전라남도 강진군 강진읍 영랑로4길 30,가능,,061-433-2366,한정식,,34.6399404,126.7709625,강진군도서관
2,강진군,금강산식당,전라남도 강진군 강진읍 영랑로4길 21 1층,가능,,061-434-8833,돼지고기,,34.6397518,126.770268,강진군도서관
2,강진군,오케이식당,전라남도 강진군 강진읍 영랑로1길 23-1,가능,,061-432-8072,한식,,34.6385897,126.771429,강진문화원
2,강진군,거목촌식당,전라남도 강진군 강진읍 서성안길 4,가능,,061-434-2106,육류,,34.6392874,126.7681052,강진군도서관
2,강진군,복섬,전라남도 강진군 강진읍 영랑로3길 15,가능,,061-434-1226,맥주,"2, 4주 월요일",34.6388539,126.7698881,강진문화원
2,강진군,다복,전라남도 강진군 강진읍 보은로3길 12,가능,http://cityfood.co.kr/h9/namseonglidabok,061-434-4774,한식,일요일,34.638692,126.77247,강진 오감통
2,강진군,유미정,전라남도 강진군 강진읍 탐진로 60 201동 111호,가능,,061-433-6222,돼지고기,,34.6382518,126.7639687,강진영랑생가
2,강진군,명동식당,전라남도 강진군 강진읍 서성안길 5,가능,,061-433-2147,한정식,,34.6389852,126.7673183,강진군도서관
2,강진군,이바돔감자탕 강진점,전라남도 강진군 강진읍 탐진로 61,가능,http://www.ebadom.com/,061-433-8535,감자탕,,34.6383591,126.7636509,강진영랑생가
2,강진군,참숯골,전라남도 강진군 강진읍 송계로 20,가능,,061-433-5240,육류,"2, 마지막주 일요일",34.6340663,126.7596425,강진영랑생가
2,강진군,청자골한식뷔페,전라남도 강진군 강진읍 해강로 974,가능,,061-433-7403,육류,,34.5973153,126.7342249,강진 백련사 동백나무 숲
2,강진군,백악관,전라남도 강진군 군동면 종합운동장길 50-16,가능,,061-433-0508,육류,,34.6436111,126.7806724,강진 오감통
2,강진군,남강식당,전라남도 강진군 군동면 청자로 255,가능,,061-433-9570,한식,,34.623312,126.796516,금산원
2,강진군,대지식당,전라남도 강진군 칠량면 칠량로 73,가능,,061-432-2333,한식,"2, 4주 일요일",34.5721167,126.7990639,강진만
2,강진군,매자리식당,전라남도 강진군 칠량면 청자로 1157,가능,,061-433-7035,한식,"2, 4주 월요일",34.548543,126.801109,하저어촌체험마을
2,강진군,송학가든횟집,전라남도 강진군 도암면 해안관광로 1317,가능,,061-433-8544,생선회,"첫째주,셋째주 월요일",34.553825,126.767638,가우도 출렁다리
2,강진군,석문정,전라남도 강진군 도암면 백도로 2059-7,가능,,061-434-6660,오리요리,"첫째주,셋째주 일요일",34.5582261,126.7236994,해남윤씨 영모당
2,강진군,선창식당,전라남도 강진군 신전면 운주로 636,가능,,061-434-0790,생선회,,34.4724679,126.7524,강진 갯들소리마을
2,강진군,만호성,전라남도 강진군 마량면 미항로 5-17,가능,,061-433-2209,육류,일요일,34.458452,126.815718,강진마도진만호성지
2,강진군,치킨아이,전라남도 강진군 마량면 미항로 145-1,가능,,061-433-3310,치킨,,34.449531,126.8181773,마량미항(마량항)
2,강진군,정가네감자탕,전라남도 강진군 마량면 마량5길 20,가능,,061-433-3132,한식,,34.450054,126.817576,마량미항(마량항)
2,해남군,꽃담,전라남도 해남군 해남읍 교육청길 29-7,가능,,061-536-8218,오리요리,월요일,34.5680373,126.6096402,해촌서원
2,해남군,마루,전라남도 해남군 해남읍 남부순환로 13-3,,,061-533-6436,낙지,,34.569774,126.607216,해남향교
2,해남군,이학식당,전라남도 해남군 해남읍 북부순환로 83,가능,,061-532-0203,백반,,34.5731417,126.602675,해남문화원
2,해남군,유락횟집,전라남도 해남군 해남읍 남부순환로 25,가능,,061-534-1449,일식,일요일,34.5688375,126.6064286,해남문화원
2,해남군,아지매식당,전라남도 해남군 해남읍 읍내길 32,,,061-536-2885,백반,,34.5713131,126.5999858,해남문화원
2,해남군,태평양횟집,전라남도 해남군 해남읍 북부순환로 92,가능,,061-534-8131,생선회,일요일,34.5682755,126.6063543,해남문화원
