main_id,name,menu,tel,area,address1,holiday,parking,landmark,homepage
2,백운목장,육류,061-794-6292,광양시,전라남도 광양시 동광1길 6,일요일,가능,구봉산 전망대,
2,옛고을 그향기,한정식,061-791-5134,광양시,전라남도 광양시 발섬4길 17-6 1층,연중무휴,가능,이순신대교,
2,왕창국밥,국밥,061-793-0695,광양시,전라남도 광양시 눈소로 36,일요일,가능,이순신대교,
2,가마솥뚝배기,감자탕,061-794-9339,광양시,전라남도 광양시 행정1길 2,"첫째,세째 일요일",가능,구봉산 전망대,
2,통뼈감자탕 동광양점,감자탕,061-791-0233,광양시,전라남도 광양시 오류4길 20 1층,연중무휴,가능,구봉산 전망대,http://www.gamjatang.com/
2,청주본가 광양점,,061-795-9208,광양시,전라남도 광양시 항만9로 134 1층,연중무휴,가능,이순신대교,
2,금정,육류,061-792-3000,광양시,전라남도 광양시 시청로 27,연중무휴,가능,구봉산 전망대,
2,삼대전주옥전주콩나물해장국,국밥,061-791-2888,광양시,전라남도 광양시 길호1길 11 1층,연중무휴,가능,이순신대교,http://3jeonjuok.modoo.at/
2,정원,샤브샤브,061-791-9935,광양시,전라남도 광양시 광장로 148-9 1층,첫째주 셋째주 일요일,가능,구봉산 전망대,
2,남도식당,게요리,061-795-3434,광양시,전라남도 광양시 중마청룡길 6-5,연중무휴,가능,구봉산 전망대,
2,백년백세고려삼계탕,백숙,061-793-1034,광양시,전라남도 광양시 사동로 231,"2, 4주 일요일",가능,구봉산 전망대,
2,만리장성,중식,061-791-0084,광양시,전라남도 광양시 광영로 28,첫째 세째 일요일,가능,배알도 수변공원,
2,광양순대국,육류,061-793-0018,광양시,전라남도 광양시 금영로 175-1,일요일,가능,광양 윤동주 유고보존 정병욱 가옥,
2,해정맛집,한식,061-792-8640,광양시,전라남도 광양시 정수2길 20,일요일,가능,배알도 수변공원,
2,박여사국밥,국밥,061-794-5666,광양시,전라남도 광양시 남산1길 12,"2, 4주 일요일",가능,배알도 수변공원,
2,가마솥뚝배기 광영점,한식,061-791-2202,광양시,전라남도 광양시 영수길 102,"2, 4주 일요일",가능,광양 윤동주 유고보존 정병욱 가옥,
2,가야골식당,한식,061-793-8868,광양시,전라남도 광양시 남산길 40,,가능,배알도 수변공원,
2,포항물횟집,생선회,061-792-9834,광양시,전라남도 광양시 광영로 150-1 포항물횟집,연중무휴,가능,광양 윤동주 유고보존 정병욱 가옥,
2,동해횟집,생선회,061-793-3007,광양시,전라남도 광양시 나룻1길 42,일요일,가능,배알도 수변공원,
2,백리향,중식,061-794-2349,광양시,전라남도 광양시 삼봉산로 21,"첫째,세째 일요일",가능,배알도 수변공원,
